reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,,1,2,3,4,5,avg
7e451a1f-fdcb-4bb0-afb4-456be90e1da8,Care Care,https://play-lh.googleusercontent.com/a/ACg8ocKnJ4xd_ClI32075QmtB8pMD7vPPt65GPmTBT4JSDdxhtCJ1Q=mo,Good service,5,0,,15/1/2025 12:04,,,,,20479,2178,2772,2765,45540,3.687728863
a6ccbe7a-3a75-46e2-8118-1610b7147a55,lalin rin,https://play-lh.googleusercontent.com/a/ACg8ocK6U6dyJXUTByPD0Fuok6zOWi5gFwM8Z_TFO54WMy-nBKnBog=mo,Grab ជាសេវាកម្មដឹកជញ្ចូនដ៍ល្អ និងទុកចិត្តបំផុត😍☺👌😊😊☺,5,0,,15/1/2025 11:38,,,,,,,,,,
ff1f82f5-5eab-4d01-aaf2-9e47fa5d6560,mizi melaka,https://play-lh.googleusercontent.com/a-/ALV-UjX6ho7bnd2tHj89oBBW5okj_GeYT6NIX3ifdV9roDhzjDwCWfeU,Nice,5,0,5.367.0,15/1/2025 11:14,,,5.367.0,,,,,,,
f346c2d2-a8bf-4ac7-863c-1fb02112ffee,Rodelio Rasay,https://play-lh.googleusercontent.com/a-/ALV-UjWsinnVg0RE1DhyxX7i2STTEhNZ58MB_5QewY_Jpww47jsab84,laking tulong talaga sa gastusin goal nmin maihatid ang aming mga customer ng sefty sa kanilang pupuntahan God Bless Us,5,0,5.367.0,15/1/2025 10:31,,,5.367.0,,,,,,,
a7c16b42-443a-4e6a-a9f5-10cc959bd8a2,ryan cupada,https://play-lh.googleusercontent.com/a/ACg8ocK7YS8iGsI3h89eKFzlU971FiR1rv7oqoNXR75fdLIV8bdoNg=mo,Very good,5,5,5.367.0,15/1/2025 8:44,,,5.367.0,,,,,,,
a53d0ae5-df0c-4129-a5ba-b5aa0afba86f,Jhozzua Canay,https://play-lh.googleusercontent.com/a/ACg8ocK0B6jAwn9Vf7DQvwc4HszMURVAnO94ATCKw2dUWepY5T7Gew=mo,Wala na luge na sayo grab,1,0,5.367.0,15/1/2025 0:31,,,5.367.0,,,,,,,
fa21d246-4dc8-4a7a-b5b8-139c7ca4f8e2,Jefferson Constantino,https://play-lh.googleusercontent.com/a-/ALV-UjVokRQ6mSFXv5ymm-2M1-nIJuplcQ-KoRQU_zTVB1l2b8EPosu9,One of the best transportion apps.,5,0,5.367.0,14/1/2025 21:43,,,5.367.0,,,,,,,
0e468df2-feef-4abc-ad75-c009d6ea81e7,Henry Tan,https://play-lh.googleusercontent.com/a/ACg8ocITA7k3nwbR-zo6JIdiq7f9x4DRIDnXkwDyklJVZSgscmekvQ=mo,"I feel your Navigate App is very poor,can you improve more..ok",3,0,5.298.0,14/1/2025 20:39,,,5.298.0,,,,,,,
9379cb9f-43b3-4a7a-911a-7fedbfc4314e,Marjie Navas,https://play-lh.googleusercontent.com/a-/ALV-UjWBmhO1P_8DkPbP4yjrbjl8EYIVlYmQtuOcnno9jT3W3qaM5wc,hinging booking,5,0,5.367.0,14/1/2025 19:47,,,5.367.0,,,,,,,
506cdc60-683e-4c44-a1db-6151bac56866,Omar Mohd Firdaus,https://play-lh.googleusercontent.com/a-/ALV-UjWePonFQk7VJLeSHAeMKepaN5eg5DBcbiD9ajndIONzXLltRmOS,easy,5,0,5.367.0,14/1/2025 19:20,,,5.367.0,,,,,,,
0c227ed1-dcb8-42ab-bbc4-33a05b4c56a1,Chetan KUMAR,https://play-lh.googleusercontent.com/a/ACg8ocIlSNWwsUjahG6dTkHBfsAqa-LmAaatAnzO4BiP8BaIcUQeNQ=mo,"Please improve yours bugs, even when dropping a passaenger on the designated drop off location, my last location where the passangers picked up shows,...???? And yor your app not being able to detect the map, the drivers job get pausee...???? Seriously....????",2,7,5.367.0,14/1/2025 18:43,,,5.367.0,,,,,,,
fcf9f968-03ac-492e-b17c-0b645d5536c8,Randy Endencia,https://play-lh.googleusercontent.com/a/ACg8ocKcJfGW0kfAWrrTXr4qfVE3KkXuF9HuquMoQhY41fxhdn0b5rs=mo,no booking in Philippines. grab food . they hire times 2 account bad experience,4,1,5.367.0,14/1/2025 18:30,,,5.367.0,,,,,,,
d4686f28-431f-457a-8fbe-d6179fb5b1f6,Naz Baldoria,https://play-lh.googleusercontent.com/a-/ALV-UjVIAeYuHITi1agXpNW90qISklnSS3iY0CBYwJ0dHUgy2uleNzs,So easy to use very fast and understable,5,0,5.367.0,14/1/2025 18:18,,,5.367.0,,,,,,,
3028b72c-dcc1-4589-b269-feb8190df284,Kong Dara,https://play-lh.googleusercontent.com/a-/ALV-UjUUrugqUn8Xj9xJZqPzqjIcE5qKBQKhl63U4T_pr4xbs1ZxjI5y,Thanks you Grab 14.01.2025,5,0,,14/1/2025 18:17,,,,,,,,,,
6b7e6ecf-036a-41a1-b2db-d240b1a4d587,Arnold Tjiawi,https://play-lh.googleusercontent.com/a-/ALV-UjXxRoF5UjjZteh33mG4YjjO40jTQyx2Ptx9qJsByMG6Gy5v6r4O,"Driver tol ga di ganti, penumpang terus yang di prioritaskan. Udah jelas bayar tol pakai kartu driver, ada struk tol, ada rekaman suara (audio protect), rute perjalanan ada. Krn aplikasi sering eror Contacting Server, jadi lupa input tol di akhir. Pas minta bantuan pusat bantuan tetap aja harus nunggu konfirmasi penumpang, tapi penumpang ga bisa dihubungi. Padahal tinggal potong aja selama bukti lengkap, penumpang yg akan komplain balik klo memang ga sesuai. Driver dikorbanin terus.",1,0,5.367.0,14/1/2025 17:30,,,5.367.0,,,,,,,
5dab8e4c-f7c2-480e-9fe3-dca1b83da54a,Joemel Peñarubia,https://play-lh.googleusercontent.com/a/ACg8ocKzoToH0G2gTd9FQw0d1QFc_enrjVHqV6mmGEX2bF1hMS0blA=mo,Awssome,5,0,5.367.0,14/1/2025 16:14,,,5.367.0,,,,,,,
d98bef99-7d71-4115-a423-ba995f0357eb,Benjamin Aguaviva,https://play-lh.googleusercontent.com/a/ACg8ocLqsP_r1Kz3cyOF5OV9sD5FrzaCCj25UXaHJ5y59Mj508kGOg=mo,Pahingi po ng booking🙏🙏,5,0,5.367.0,14/1/2025 15:38,,,5.367.0,,,,,,,
0c3ee6f4-c419-475e-8f82-e984f5f009f7,Yean Sineath,https://play-lh.googleusercontent.com/a/ACg8ocIOkJ2Pu7lBvc0ZrhIL0aUmvoTypxuCqSUi5xr6BERHMnXlHg=mo,Good,5,0,,14/1/2025 12:53,,,,,,,,,,
9e67a9dc-654d-4f64-b180-c2f835ab7991,Yopie Januar,https://play-lh.googleusercontent.com/a-/ALV-UjWe9mMZMy39drm8GgLIZvVxfUlf97eg8Ar580TJV3mNL5PSH0AI,Semakin sulit mendapat order,1,10,5.367.0,14/1/2025 12:48,Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️ Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Pengemudi maka silakan laporkan melalui link https://grb.to/driveridhelpcenter agar bisa ditindaklanjuti ya. Terima kasih 🙏,27/3/2023 15:50,5.367.0,,,,,,,
c906aadb-43b3-4dc1-aaa5-509a1c8d4919,EJ Ramos,https://play-lh.googleusercontent.com/a/ACg8ocKkaAqBBbKFUgtIHGtfnSTMF6jP_4K3llHH3ISNRkzU2ZlMVg=mo,So good so yummy,5,0,,14/1/2025 10:28,,,,,,,,,,
fa2df09a-4598-4774-a474-5f852a06ff6a,Arnel Ganado,https://play-lh.googleusercontent.com/a-/ALV-UjWOGvglLBQ8EYA7XlDZqR3QbMZKk31hh5TWfRx90HFYLnlCloA,🥰,5,0,5.367.0,14/1/2025 9:24,,,5.367.0,,,,,,,
2df87a1e-f2c2-4354-9010-f316a3605146,mafel ngatsa,https://play-lh.googleusercontent.com/a/ACg8ocJxUz86SpKmrQUbum_xlUkjpAzhTPP77ds_LxvTN2OXhOyZ5w=mo,Very satisfied,5,0,,14/1/2025 6:58,,,,,,,,,,
4c27b09b-3816-4350-9ffb-862e5fe06c24,Syafiq Khor,https://play-lh.googleusercontent.com/a-/ALV-UjW6tCHXlzjbj2SMX734-NwBPp58zDbMriH4nxFh9aNN4fT-Z4OS,Easy to understand more accurate to other apps,5,0,,14/1/2025 2:33,,,,,,,,,,
15e39aa5-bdf9-453e-9452-7fdeaa2c6c6b,ERNAN,https://play-lh.googleusercontent.com/a-/ALV-UjWpEUxfkiKEUNW4Fcetz4AJeJ3wWE2Am-GtSQphwOQN5ZGc_E8,All goods,5,0,,14/1/2025 0:55,,,,,,,,,,
07d014bb-0ff5-4c84-921a-121367baad61,Irfan Iqarin,https://play-lh.googleusercontent.com/a-/ALV-UjWLHguDJOMNrzABXGCoJq75dS7o7aO-Iedxegip7BT8DOKsbHKf,Goob,4,0,5.367.0,13/1/2025 23:41,,,5.367.0,,,,,,,
